\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_000017_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Thu Oct 26, 04:44:09 2006"               
\STOP_DATE = "Mon Nov 24, 04:44:47 2008"               
\fixlen = T
\NUMRECORDS = 1792     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 16:58:38 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454078.666530 13.42522 0.00489 
 2454078.671044 13.41578 0.00490 
 2454079.667575 13.42033 0.00453 
 2454080.579729 13.43099 0.00502 
 2454080.584243 13.40720 0.00493 
 2454080.588759 13.42065 0.00492 
 2454080.599487 13.42154 0.00483 
 2454080.604850 13.41948 0.00479 
 2454080.610210 13.42506 0.00472 
 2454080.612318 13.39729 0.00474 
 2454080.616835 13.43578 0.00481 
 2454080.621349 13.41443 0.00472 
 2454080.625864 13.41268 0.00478 
 2454080.630378 13.43250 0.00489 
 2454080.634893 13.40216 0.00458 
 2454080.639418 13.40846 0.00455 
 2454080.643933 13.42103 0.00473 
 2454080.648455 13.42945 0.00489 
 2454080.652970 13.41958 0.00472 
 2454080.657483 13.42558 0.00471 
 2454080.662000 13.42639 0.00461 
 2454080.666523 13.41372 0.00452 
 2454081.580718 13.43085 0.00476 
 2454081.585239 13.42728 0.00486 
 2454081.590603 13.41960 0.00498 
 2454081.595973 13.42916 0.00480 
 2454081.601342 13.42418 0.00486 
 2454081.606711 13.42059 0.00489 
 2454081.608820 13.41336 0.00487 
 2454081.613340 13.42805 0.00487 
 2454081.617854 13.42231 0.00469 
 2454081.622368 13.41639 0.00478 
 2454081.626882 13.43027 0.00479 
 2454081.631397 13.42209 0.00480 
 2454081.635918 13.41812 0.00469 
 2454081.640443 13.41667 0.00484 
 2454081.644959 13.43119 0.00479 
 2454081.649483 13.43002 0.00474 
 2454081.653999 13.41958 0.00479 
 2454081.658514 13.41704 0.00461 
 2454081.663037 13.41386 0.00481 
 2454082.580708 13.41099 0.00526 
 2454082.595951 13.41847 0.00673 
 2454082.601323 13.42519 0.00506 
 2454082.603432 13.41607 0.00505 
 2454082.607947 13.43007 0.00525 
 2454082.616975 13.42545 0.00563 
 2454082.630517 13.40733 0.00804 
 2454082.639545 13.43837 0.00591 
 2454082.644059 13.43147 0.00495 
 2454082.653086 13.41237 0.00507 
 2454082.657601 13.42765 0.00454 
 2454082.662115 13.41809 0.00503 
 2454083.580709 13.40700 0.00542 
 2454083.586072 13.41864 0.00501 
 2454083.591437 13.41925 0.00551 
 2454083.596800 13.41046 0.00514 
 2454083.602167 13.42458 0.00502 
 2454083.604270 13.42539 0.00487 
 2454083.613299 13.41342 0.00484 
 2454083.617814 13.42525 0.00515 
 2454083.626842 13.40704 0.00512 
 2454083.635870 13.39302 0.00710 
 2454083.640384 13.40803 0.00515 
 2454083.644898 13.39860 0.00490 
 2454083.649412 13.42266 0.00494 
 2454083.653926 13.42972 0.00524 
 2454093.581229 13.41226 0.00511 
 2454093.585959 13.41466 0.00514 
 2454093.590688 13.43089 0.00513 
 2454093.595418 13.41781 0.00501 
 2454093.600146 13.41001 0.00498 
 2454093.604873 13.43013 0.00500 
 2454093.609602 13.42902 0.00490 
 2454093.614332 13.42592 0.00500 
 2454093.619059 13.41909 0.00479 
 2454093.623785 13.43104 0.00511 
 2454093.628516 13.41427 0.00502 
 2454093.633243 13.42211 0.00498 
 2454107.587528 13.42258 0.00457 
 2454107.592258 13.41866 0.00455 
 2454108.588224 13.43015 0.00459 
 2454362.811812 13.41876 0.00497 
 2454362.822059 13.43182 0.00490 
 2454362.827601 13.41918 0.00486 
 2454362.833143 13.42714 0.00472 
 2454362.835339 13.41621 0.00484 
 2454362.840036 13.42848 0.00466 
 2454362.844725 13.42206 0.00474 
 2454362.849430 13.41765 0.00468 
 2454362.854127 13.42883 0.00476 
 2454362.858823 13.42044 0.00472 
 2454362.863510 13.42347 0.00466 
 2454362.868216 13.42639 0.00458 
 2454362.872913 13.41980 0.00453 
 2454362.877610 13.43404 0.00447 
 2454362.882298 13.42378 0.00446 
 2454362.887004 13.41123 0.00464 
