\STAR_ID                              = "Proxima Cen"
\DATA_CATEGORY                        = "Photometric light curve"
\RA                                   = "14h29m42.95s"
\RA_UNITS                             = "sexagesimal"
\DEC                                  = "-62d40m46.1s"
\DEC_UNITS                            = "sexagesimal"
\EQUINOX                              = "J2000.0"
\NUMBER_OF_POINTS                     = "1813"
\TIME_REFERENCE_FRAME                 = "JD"
\MINIMUM_DATE                         = "2457402.84676"
\MAXIMUM_DATE                         = "2457502.91435"
\DATE_UNITS                           = "days"
\REFERENCES                           = "Anglada-Escudé et al. 2016"
\BIBCODES                             = "2016Natur.536..437A"
\TELESCOPE                            = "Astrograph for the South Hemisphere II telescope"
\INSTRUMENT                           = "unknown"
\TIME_SERIES_DATA_FILTER              = "H-alpha"
\OBSERVATORY_SITE                     = "San Pedro de Atacama Celestial Explorations Observatory (SPACEOBS)"
\COLUMN_JD                            = "Julian Day"
\COMMENT                              = "H-alpha is centered on 0.656 micron. Uncertainties of individual points are ~6 mmag."
|               JD| RELATIVE_MAGNITUDE| MAGNITUDE_UNCERTAINTY|      RELATIVE_FLUX| FLUX_UNCERTAINTY|
|           double|             double|                double|             double|           double|
|             days|                mag|                   mag|                   |                 |
  2457422.8373                                                    0.9940311634                      
  2457422.84114                                                     0.980573156                      
  2457422.84506                                                     0.990010954                      
  2457422.8489                                                    0.9874611089                      
  2457422.85275                                                     0.986461181                      
  2457422.85658                                                     0.976067831                      
  2457422.86049                                                     0.991379650                      
  2457422.86433                                                     0.979489985                      
  2457422.86836                                                     0.982290626                      
  2457422.87222                                                     0.980392544                      
  2457422.87608                                                     0.978678392                      
  2457422.87959                                                     0.974899841                      
  2457422.8834                                                    0.9937565404                      
  2457423.79077                                                     0.978768536                      
  2457423.79467                                                     0.948680557                      
  2457423.79858                                                     0.976067831                      
  2457423.80242                                                     0.980753801                      
  2457423.80615                                                     0.985825391                      
  2457423.81005                                                     0.992841678                      
  2457423.81398                                                     0.965783986                      
  2457423.81795                                                     0.969527205                      
  2457423.82192                                                     0.994763862                      
  2457423.82585                                                     0.986188650                      
  2457423.82983                                                     0.982833610                      
  2457423.83367                                                     0.983558056                      
  2457423.83764                                                     0.985280754                      
  2457423.8415                                                    0.9887352096                      
  2457423.84534                                                     0.983829860                      
  2457423.84923                                                     0.984373695                      
  2457423.85284                                                     0.979489985                      
  2457424.79111                                                     0.980934479                      
  2457424.79517                                                     0.986461181                      
  2457424.79905                                                     0.970599358                      
  2457424.80267                                                     0.975169253                      
  2457424.80666                                                     0.991379650                      
  2457424.81087                                                     0.970778166                      
