KOI Name,Predicted Disposition,Probability,Period (days),T0 (BJD-2454833),Duration (hr),Impact,R_p/R*,Kepler ID
K01957.01,CONFIRMED,0.78710914,1.38680229,132.532038,1.7065,1.115,0.132,10028352
K01477.01,CONFIRMED,0.7868947,169.49760849999996,228.99997000000002,7.77,0.625,0.105,7811397
K00247.01,CONFIRMED,0.78671604,13.81504449,181.12621000000001,2.3244,0.868,0.034,11852982
K06132.01,CONFIRMED,0.7861595,33.3200908,150.0494,6.5265,0.069,0.07200000000000001,5629353
K03111.02,CONFIRMED,0.7853268,4.32848303,132.5128,2.955,0.3670000000000001,0.006,8581240
K01404.02,CONFIRMED,0.78410053,18.9060921,140.82932,4.125,0.004,0.018000000000000002,8874090
K01856.01,CONFIRMED,0.78392214,46.2991052,155.80223,5.2481,0.025,0.026000000000000002,11570749
K00416.03,CONFIRMED,0.78292084,9.74765878,139.16423999999998,2.62,0.6579999999999999,0.01,6508221
K04838.01,CONFIRMED,0.78249884,13.2965044,136.5669,5.68,0.902,0.013000000000000001,8216763
K08077.01,CONFIRMED,0.7821604,77.177672,146.9243,2.312,0.026000000000000002,0.016,12266099
K00506.01,CONFIRMED,0.7820415,1.5831604780000001,169.965242,1.1935,0.897,0.03,5780715
K02319.01,CONFIRMED,0.7795753000000001,21.1033014,144.66035,2.059,0.125,0.013000000000000001,9003401
K04385.03,CONFIRMED,0.77803737,17.369511199999998,136.6159,4.012,0.28,0.016,3645438
K01353.03,CONFIRMED,0.77575934,330.071558,340.9871,4.295,0.6809999999999999,0.024,7303287
K00548.02,CONFIRMED,0.7734890999999999,6.0799457000000015,136.444,2.7060000000000004,0.09699999999999999,0.006999999999999999,12600735
K02686.01,CONFIRMED,0.7734492,211.032819,279.12891,7.119,0.8079999999999999,0.046,7826659
K04823.01,CONFIRMED,0.7706288,4.96504981,135.55399,2.2119999999999997,0.655,0.006999999999999999,11401253
K00804.01,CONFIRMED,0.7704581,9.02930689,177.20422,3.1449,0.024,0.028999999999999998,3641726
K05418.01,CONFIRMED,0.769621,14.267343900000002,133.9655,3.1710000000000003,0.042,0.013000000000000001,7747091
K04242.01,CONFIRMED,0.7685113,145.78655600000005,215.0441,4.891,0.133,0.018000000000000002,9514372
K02450.02,CONFIRMED,0.76788914,7.1931193,137.2737,2.935,0.29600000000000004,0.01,7289317
K02871.02,CONFIRMED,0.767225,5.36375016,134.65014,2.94,0.008,0.01,10793172
K00645.02,CONFIRMED,0.76596904,23.783209699999997,179.75013,7.939,0.01,0.015,5374854
