\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_000021_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Thu Oct 26, 04:44:09 2006"               
\STOP_DATE = "Mon Nov 24, 04:44:47 2008"               
\fixlen = T
\NUMRECORDS = 1792     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 16:59:26 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454077.634939 14.12222 0.00982 
 2454077.639453 14.10544 0.00977 
 2454077.643967 14.11363 0.01002 
 2454077.648480 14.12644 0.01045 
 2454077.653002 14.12936 0.01069 
 2454077.657522 14.12600 0.01087 
 2454077.662044 14.10156 0.01057 
 2454077.666559 14.11962 0.01073 
 2454077.671072 14.13731 0.01090 
 2454077.675584 14.10522 0.01102 
 2454078.579757 14.12446 0.00876 
 2454078.584280 14.11801 0.00847 
 2454078.588798 14.12372 0.00862 
 2454078.593311 14.13393 0.00842 
 2454078.604034 14.11222 0.00859 
 2454078.609394 14.12863 0.00847 
 2454078.614762 14.12917 0.00818 
 2454078.616870 14.12576 0.00822 
 2454078.621392 14.12604 0.00838 
 2454078.625905 14.11616 0.00834 
 2454078.630419 14.13023 0.00797 
 2454078.634933 14.12087 0.00808 
 2454078.639446 14.13715 0.00842 
 2454078.643962 14.11606 0.00814 
 2454078.648475 14.12965 0.00798 
 2454078.652989 14.12812 0.00811 
 2454078.657502 14.12205 0.00815 
 2454078.662016 14.12228 0.00801 
 2454078.666530 14.11192 0.00820 
 2454078.671044 14.11757 0.00821 
 2454079.667575 14.12308 0.00743 
 2454080.579729 14.12652 0.00851 
 2454080.584243 14.12795 0.00829 
 2454080.588759 14.11781 0.00830 
 2454080.599487 14.12127 0.00810 
 2454080.604850 14.12390 0.00800 
