\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_008346_V01_west_tfa.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 07:06:26 2006"               
\STOP_DATE = "Mon Nov 24, 09:34:38 2008"               
\fixlen = T
\NUMRECORDS = 596      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 16:58:15 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454787.784756 12.04841 0.00239 
 2454787.804375 12.04618 0.00241 
 2454787.808917 12.04786 0.00244 
 2454787.813453 12.04383 0.00235 
 2454787.817993 12.04382 0.00252 
 2454787.822534 12.04104 0.00253 
 2454787.831623 12.04656 0.00251 
 2454787.843094 12.04871 0.00240 
 2454787.847629 12.04742 0.00231 
 2454787.852169 12.04775 0.00239 
 2454787.856716 12.04467 0.00245 
 2454787.861253 12.04144 0.00246 
 2454787.865793 12.04715 0.00241 
 2454787.870330 12.05266 0.00236 
 2454787.874870 12.04914 0.00231 
 2454787.879407 12.04197 0.00245 
 2454787.883956 12.03569 0.00245 
 2454787.888496 12.05091 0.00246 
 2454787.893043 12.03947 0.00243 
 2454787.897576 12.04545 0.00242 
 2454787.902121 12.04914 0.00242 
 2454787.906661 12.03762 0.00247 
 2454787.911205 12.04070 0.00250 
 2454787.915743 12.04139 0.00256 
 2454788.755449 12.04773 0.00227 
 2454788.765250 12.03906 0.00234 
 2454788.775055 12.04901 0.00226 
 2454788.794654 12.05396 0.00225 
 2454788.808996 12.04346 0.00238 
 2454788.813538 12.04540 0.00243 
 2454788.818070 12.04490 0.00241 
 2454788.822608 12.04674 0.00240 
 2454788.827150 12.04038 0.00241 
 2454788.836222 12.04463 0.00232 
 2454788.840762 12.04317 0.00226 
 2454788.845304 12.04374 0.00225 
 2454788.849853 12.04384 0.00230 
 2454788.854385 12.04097 0.00239 
